축제명,축제 소개,축제 기간,축제 지역,요금,개최자,사진
휴애리 동백축제,제주 속 제주 휴애리 겨울 동백과 함께하는 여행,2021.11.12 ~ 2022.01.31,제주,3000,서귀포시,2.jpg
마노르블랑 동백꽃축제,서귀포시 카페 마노르블랑에서 열리는 동백꽃축제,2021.11.26 ~ 2022.01.31,제주,5000,제주시,3.jpg
이건희 컬렉션 이중섭 특별전 <70년 만의 서귀포 귀향歸鄕>,"삼성家로부터 기증받은 이중섭 원화 작품 12점(섶섬이 보이는 풍경, 해변의 가족 등)과 함께 이중섭 화가의 예술세계와 삶, 그리고 이중섭미술관의 역사를 다양한 자료로 소개하는 특별전시",2021.09.05 ~ 2022.03.06,제주,7000,서귀포시,4.jpg
제주허브동산 겨울동백축제,제주도 표선면에 위치한 제주허브동산에서 개최되는 겨울 동백 축제,2021.11.25 ~ 2022.01.15,제주,3000,제주시,5.jpg
"빛의 벙커 ""모네, 르누아르... 샤갈"" 전",성산에 숨겨져 있던 통신 벙커에서 열리는 고흐 중심의 미디어 아트 전시,2021.11.12 ~ 2022.01.31,제주,5000,서귀포시,6.jpg
제주윈터페스티벌,한라산에서 즐기는 제주의 겨울!제주의 겨울 대표축제!,2021.11.26 ~ 2022.01.31,제주,7000,제주시,7.jpg
곶자왈 반딧불이 축제,별 흐르는 마을 청수리에서 개최되는 곶자왈 반딧불이 축제,2021.09.05 ~ 2022.03.06,제주,3000,서귀포시,8.jpg
제주왕벚꽃축제,매년 봄이면 아름다운 왕벚꽃길을 걸어볼 수 있는 기회!,2021.11.25 ~ 2022.01.15,제주,5000,제주시,9.jpg
삼다공원 야간콘서트·야몬딱털장,"금요일 밤, 제주 도심 속 작은 공원을 가득 채우는 다채로운 공연",2021.11.12 ~ 2022.01.31,제주,7000,서귀포시,10.jpg
보롬왓 축제,"딤스로켓, 화이트핑크셀렉스, 메밀, 보리, 라벤더 사색 이야기의 향연",2021.11.26 ~ 2022.01.31,제주,3000,제주시,11.jpg
서귀포 유채꽃 국제걷기대회,서귀포의 수려한 자연경관과 봄의 정취를 알리는 유채꽃 국제걷기대회,2021.09.05 ~ 2022.03.06,제주,5000,서귀포시,12.jpg
